[2026-03-03 02:55:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:09:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:10:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:53] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:11:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:12:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:13:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:13:08] Altruists (Green): 14 | Selfish (Red): 14
[2026-03-03 03:13:14] Altruists (Green): 19 | Selfish (Red): 16
[2026-03-03 03:13:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:13:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:13:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:13:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:13:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:13:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:14:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:15:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:16:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:17:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:18:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:19:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:53] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:20:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:21:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:22:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:23:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:24:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:25:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:25:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:25:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:25:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:25:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:25:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:25:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:26:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:26:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:26:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:26:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:26:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:26:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:26:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:27:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:28:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:28:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:28:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:28:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:28:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:28:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:28:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:29:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:30:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:30:14] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:30:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:30:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:30:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:30:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:30:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:31:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:32:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:33:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:34:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:35:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:36:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:37:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:38:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:38:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:38:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:38:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:38:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:38:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 03:38:41] Altruists (Green): 19 | Selfish (Red): 17
